"t / s","CH1 / V"
0,-0.158416
2e-06,-0.158416
4e-06,-0.154455
6e-06,-0.154455
8e-06,-0.162376
1e-05,-0.150495
1.2e-05,-0.158416
1.4e-05,-0.158416
1.6e-05,-0.158416
1.8e-05,-0.158416
2e-05,-0.158416
2.2e-05,-0.150495
2.4e-05,-0.154455
2.6e-05,-0.162376
2.8e-05,-0.158416
3e-05,-0.154455
3.2e-05,-0.154455
3.4e-05,-0.154455
3.6e-05,-0.162376
3.8e-05,-0.158416
4e-05,-0.166337
4.2e-05,-0.154455
4.4e-05,-0.158416
4.6e-05,-0.158416
4.8e-05,-0.158416
5e-05,-0.158416
5.2e-05,-0.154455
5.4e-05,-0.158416
5.6e-05,-0.158416
5.8e-05,-0.158416
6e-05,-0.158416
6.2e-05,-0.162376
6.4e-05,-0.158416
6.6e-05,-0.158416
6.8e-05,-0.154455
7e-05,-0.158416
7.2e-05,-0.150495
7.4e-05,-0.154455
7.6e-05,-0.158416
7.8e-05,-0.158416
8e-05,-0.158416
8.2e-05,-0.154455
8.4e-05,-0.158416
8.6e-05,-0.154455
8.8e-05,-0.162376
9e-05,-0.158416
9.2e-05,-0.158416
9.4e-05,-0.154455
9.6e-05,-0.162376
9.8e-05,-0.154455
0.0001,-0.158416
0.000102,-0.158416
0.000104,-0.158416
0.000106,-0.158416
0.000108,-0.158416
0.00011,-0.158416
0.000112,-0.158416
0.000114,-0.154455
0.000116,-0.162376
0.000118,-0.154455
0.00012,-0.158416
0.000122,-0.158416
0.000124,-0.158416
0.000126,-0.154455
0.000128,-0.154455
0.00013,-0.158416
0.000132,-0.158416
0.000134,-0.166337
0.000136,-0.158416
0.000138,-0.158416
0.00014,-0.158416
0.000142,-0.158416
0.000144,-0.162376
0.000146,-0.162376
0.000148,-0.154455
0.00015,-0.158416
0.000152,-0.158416
0.000154,-0.158416
0.000156,-0.162376
0.000158,-0.162376
0.00016,-0.158416
0.000162,-0.158416
0.000164,-0.158416
0.000166,-0.166337
0.000168,-0.154455
0.00017,-0.158416
0.000172,-0.158416
0.000174,-0.158416
0.000176,-0.154455
0.000178,-0.158416
0.00018,-0.158416
0.000182,-0.158416
0.000184,-0.154455
0.000186,-0.158416
0.000188,-0.158416
0.00019,-0.158416
0.000192,-0.154455
0.000194,-0.158416
0.000196,-0.158416
0.000198,-0.162376
0.0002,-0.154455
0.000202,-0.158416
0.000204,-0.162376
0.000206,-0.162376
0.000208,-0.158416
0.00021,-0.158416
0.000212,-0.150495
0.000214,-0.158416
0.000216,-0.158416
0.000218,-0.162376
0.00022,-0.162376
0.000222,-0.154455
0.000224,-0.154455
0.000226,-0.162376
0.000228,-0.162376
0.00023,-0.158416
0.000232,-0.162376
0.000234,-0.154455
0.000236,-0.158416
0.000238,-0.158416
0.00024,-0.158416
0.000242,-0.158416
0.000244,-0.158416
0.000246,-0.154455
0.000248,-0.158416
0.00025,-0.162376
0.000252,-0.158416
0.000254,-0.162376
0.000256,-0.158416
0.000258,-0.158416
0.00026,-0.158416
0.000262,-0.154455
0.000264,-0.158416
0.000266,-0.158416
0.000268,-0.162376
0.00027,-0.162376
0.000272,-0.158416
0.000274,-0.158416
0.000276,-0.158416
0.000278,-0.158416
0.00028,-0.158416
0.000282,-0.154455
0.000284,-0.162376
0.000286,-0.154455
0.000288,-0.158416
0.00029,-0.158416
0.000292,-0.162376
0.000294,-0.158416
0.000296,-0.162376
0.000298,-0.158416
0.0003,-0.162376
0.000302,-0.174257
0.000304,-0.158416
0.000306,-0.158416
0.000308,-0.162376
0.00031,-0.158416
0.000312,-0.154455
0.000314,-0.158416
0.000316,-0.158416
0.000318,-0.154455
0.00032,-0.154455
0.000322,-0.158416
0.000324,-0.158416
0.000326,-0.158416
0.000328,-0.166337
0.00033,-0.158416
0.000332,-0.150495
0.000334,-0.158416
0.000336,-0.162376
0.000338,-0.158416
0.00034,-0.158416
0.000342,-0.158416
0.000344,-0.154455
0.000346,-0.158416
0.000348,-0.158416
0.00035,-0.158416
0.000352,-0.158416
0.000354,-0.158416
0.000356,-0.158416
0.000358,-0.158416
0.00036,-0.158416
0.000362,-0.158416
0.000364,-0.154455
0.000366,-0.162376
0.000368,-0.158416
