"t / s","CH1 / V"
0,-0.323232
5e-07,-0.242424
1e-06,-0.282828
1.5e-06,-0.323232
2e-06,-0.363636
2.5e-06,-0.242424
3e-06,-0.323232
3.5e-06,-0.282828
4e-06,-0.323232
4.5e-06,-0.282828
5e-06,-0.282828
5.5e-06,-0.323232
6e-06,-0.363636
6.5e-06,-0.242424
7e-06,-0.282828
7.5e-06,-0.40404
8e-06,-0.282828
8.5e-06,-0.20202
9e-06,-0.363636
9.5e-06,-0.282828
1e-05,-0.363636
1.05e-05,-0.242424
1.1e-05,-0.323232
1.15e-05,-0.323232
1.2e-05,-0.363636
1.25e-05,-0.363636
1.3e-05,-0.40404
1.35e-05,-0.363636
1.4e-05,-0.40404
1.45e-05,-0.40404
1.5e-05,-0.282828
1.55e-05,-0.282828
1.6e-05,-0.282828
1.65e-05,-0.282828
1.7e-05,-0.363636
1.75e-05,-0.363636
1.8e-05,-0.363636
1.85e-05,-0.323232
1.9e-05,-0.282828
1.95e-05,-0.242424
2e-05,-0.363636
2.05e-05,-0.282828
2.1e-05,-0.40404
2.15e-05,-0.363636
2.2e-05,-0.323232
2.25e-05,-0.40404
2.3e-05,-0.282828
2.35e-05,-0.242424
2.4e-05,-0.282828
2.45e-05,-0.282828
2.5e-05,-0.323232
2.55e-05,-0.323232
2.6e-05,-0.282828
2.65e-05,-0.242424
2.7e-05,-0.282828
2.75e-05,-0.282828
2.8e-05,-0.282828
2.85e-05,-0.282828
2.9e-05,-0.323232
2.95e-05,-0.323232
3e-05,-0.282828
3.05e-05,-0.363636
3.1e-05,-0.323232
3.15e-05,-0.282828
3.2e-05,-0.282828
3.25e-05,-0.363636
3.3e-05,-0.323232
3.35e-05,-0.282828
3.4e-05,-0.242424
3.45e-05,-0.40404
3.5e-05,-0.20202
3.55e-05,-0.282828
3.6e-05,-0.282828
3.65e-05,-0.323232
3.7e-05,-0.282828
3.75e-05,-0.282828
3.8e-05,-0.363636
3.85e-05,-0.20202
3.9e-05,-0.323232
3.95e-05,-0.282828
4e-05,-0.282828
4.05e-05,-0.323232
4.1e-05,-0.323232
4.15e-05,-0.363636
4.2e-05,-0.363636
4.25e-05,-0.282828
4.3e-05,-0.242424
4.35e-05,-0.323232
4.4e-05,-0.20202
4.45e-05,-0.282828
4.5e-05,-0.242424
4.55e-05,-0.282828
4.6e-05,-0.242424
4.65e-05,-0.20202
4.7e-05,-0.282828
4.75e-05,-0.282828
4.8e-05,-0.323232
4.85e-05,-0.282828
4.9e-05,-0.242424
4.95e-05,-0.282828
5e-05,-0.323232
5.05e-05,-0.20202
5.1e-05,-0.282828
5.15e-05,-0.323232
5.2e-05,-0.20202
5.25e-05,-0.323232
5.3e-05,-0.282828
5.35e-05,-0.242424
5.4e-05,-0.282828
5.45e-05,-0.282828
5.5e-05,-0.282828
5.55e-05,-0.282828
5.6e-05,-0.282828
5.65e-05,-0.242424
5.7e-05,-0.242424
5.75e-05,-0.282828
5.8e-05,-0.242424
5.85e-05,-0.323232
5.9e-05,-0.282828
5.95e-05,-0.323232
6e-05,-0.282828
6.05e-05,-0.323232
6.1e-05,-0.323232
6.15e-05,-0.282828
6.2e-05,-0.282828
6.25e-05,-0.282828
6.3e-05,-0.242424
6.35e-05,-0.323232
6.4e-05,-0.323232
6.45e-05,-0.282828
6.5e-05,-0.282828
6.55e-05,-0.363636
6.6e-05,-0.282828
6.65e-05,-0.282828
6.7e-05,-0.282828
6.75e-05,-0.323232
6.8e-05,-0.282828
6.85e-05,-0.323232
6.9e-05,-0.363636
6.95e-05,-0.323232
7e-05,-0.242424
7.05e-05,-0.323232
7.1e-05,-0.323232
7.15e-05,-0.323232
7.2e-05,-0.323232
7.25e-05,-0.323232
7.3e-05,-0.323232
7.35e-05,-0.282828
7.4e-05,-0.363636
7.45e-05,-0.282828
7.5e-05,-0.282828
7.55e-05,-0.20202
7.6e-05,-0.282828
7.65e-05,-0.242424
7.7e-05,-0.323232
7.75e-05,-0.363636
7.8e-05,-0.242424
7.85e-05,-0.282828
7.9e-05,-0.282828
7.95e-05,-0.242424
8e-05,-0.323232
8.05e-05,-0.323232
8.1e-05,-0.323232
8.15e-05,-0.282828
8.2e-05,-0.323232
8.25e-05,-0.242424
8.3e-05,-0.323232
8.35e-05,-0.282828
8.4e-05,-0.282828
8.45e-05,-0.282828
8.5e-05,-0.282828
8.55e-05,-0.282828
8.6e-05,-0.242424
8.65e-05,-0.282828
8.7e-05,-0.282828
8.75e-05,-0.282828
8.8e-05,-0.363636
8.85e-05,-0.242424
8.9e-05,-0.323232
8.95e-05,-0.323232
9e-05,-0.363636
9.05e-05,-0.323232
9.1e-05,-0.323232
